Sequential BFS times: 
   Sequential BFS 0: 36.0
   Sequential BFS 1: 3.0
   Sequential BFS 2: 4.0
   Sequential BFS 3: 3.0
   Sequential BFS 4: 3.0
   Sequential BFS 5: 3.0
   Sequential BFS 6: 3.0
   Sequential BFS 7: 5.0
   Sequential BFS 8: 3.0
   Sequential BFS 9: 3.0
   Sequential BFS 10: 3.0
   Sequential BFS 11: 3.0
   Sequential BFS 12: 5.0
   Sequential BFS 13: 3.0
   Sequential BFS 14: 3.0
   Sequential BFS 15: 3.0
   Sequential BFS 16: 4.0
   Sequential BFS 17: 4.0
   Sequential BFS 18: 2.0
   Sequential BFS 19: 3.0
   Sequential BFS 20: 3.0
   Sequential BFS 21: 6.0
   Sequential BFS 22: 3.0
   Sequential BFS 23: 3.0
   Sequential BFS 24: 3.0
   Sequential BFS 25: 2.0
   Sequential BFS 26: 6.0
   Sequential BFS 27: 3.0
   Sequential BFS 28: 2.0
   Sequential BFS 29: 3.0
   Sequential BFS 30: 5.0
   Sequential BFS 31: 3.0
Concurrent BFS times: 
   Concurrent BFS 0: 7.0
   Concurrent BFS 1: 4.0
   Concurrent BFS 2: 4.0
   Concurrent BFS 3: 4.0
   Concurrent BFS 4: 3.0
   Concurrent BFS 5: 3.0
   Concurrent BFS 6: 5.0
   Concurrent BFS 7: 4.0
   Concurrent BFS 8: 3.0
   Concurrent BFS 9: 3.0
   Concurrent BFS 10: 5.0
   Concurrent BFS 11: 3.0
   Concurrent BFS 12: 3.0
   Concurrent BFS 13: 3.0
   Concurrent BFS 14: 3.0
   Concurrent BFS 15: 5.0
   Concurrent BFS 16: 3.0
   Concurrent BFS 17: 3.0
   Concurrent BFS 18: 3.0
   Concurrent BFS 19: 3.0
   Concurrent BFS 20: 5.0
   Concurrent BFS 21: 4.0
   Concurrent BFS 22: 3.0
   Concurrent BFS 23: 4.0
   Concurrent BFS 24: 6.0
   Concurrent BFS 25: 3.0
   Concurrent BFS 26: 5.0
   Concurrent BFS 27: 7.0
   Concurrent BFS 28: 7.0
   Concurrent BFS 29: 7.0
   Concurrent BFS 30: 7.0
   Concurrent BFS 31: 5.0
Sequential A* times: 
   Sequential A* 0: 19.0
   Sequential A* 1: 3.0
   Sequential A* 2: 3.0
   Sequential A* 3: 2.0
   Sequential A* 4: 2.0
   Sequential A* 5: 2.0
   Sequential A* 6: 2.0
   Sequential A* 7: 3.0
   Sequential A* 8: 2.0
   Sequential A* 9: 2.0
   Sequential A* 10: 2.0
   Sequential A* 11: 3.0
   Sequential A* 12: 2.0
   Sequential A* 13: 4.0
   Sequential A* 14: 2.0
   Sequential A* 15: 1.0
   Sequential A* 16: 2.0
   Sequential A* 17: 2.0
   Sequential A* 18: 3.0
   Sequential A* 19: 1.0
   Sequential A* 20: 2.0
   Sequential A* 21: 5.0
   Sequential A* 22: 2.0
   Sequential A* 23: 2.0
   Sequential A* 24: 2.0
   Sequential A* 25: 1.0
   Sequential A* 26: 2.0
   Sequential A* 27: 2.0
   Sequential A* 28: 5.0
   Sequential A* 29: 2.0
   Sequential A* 30: 2.0
   Sequential A* 31: 1.0
Concurrent A* times: 
   Concurrent A* 0: 16.0
   Concurrent A* 1: 16.0
   Concurrent A* 2: 8.0
   Concurrent A* 3: 9.0
   Concurrent A* 4: 8.0
   Concurrent A* 5: 7.0
   Concurrent A* 6: 8.0
   Concurrent A* 7: 6.0
   Concurrent A* 8: 7.0
   Concurrent A* 9: 5.0
   Concurrent A* 10: 5.0
   Concurrent A* 11: 5.0
   Concurrent A* 12: 5.0
   Concurrent A* 13: 5.0
   Concurrent A* 14: 5.0
   Concurrent A* 15: 6.0
   Concurrent A* 16: 4.0
   Concurrent A* 17: 4.0
   Concurrent A* 18: 3.0
   Concurrent A* 19: 4.0
   Concurrent A* 20: 4.0
   Concurrent A* 21: 4.0
   Concurrent A* 22: 4.0
   Concurrent A* 23: 4.0
   Concurrent A* 24: 4.0
   Concurrent A* 25: 4.0
   Concurrent A* 26: 3.0
   Concurrent A* 27: 5.0
   Concurrent A* 28: 3.0
   Concurrent A* 29: 7.0
   Concurrent A* 30: 4.0
   Concurrent A* 31: 3.0

Sequential BFS Average: 4.40625
Concurrent BFS Average: 4.28125
Sequential A* Average: 2.8125
Concurrent A* Average: 5.78125
